‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       171	0.00369660	-0.00016883	0.00240812	-0.01208724	
       172	0.00111965	0.00208601	0.00079753	-0.00145731	
       173	-0.00113519	-0.00016883	-0.00081307	0.01336018	
       174	-0.00274578	0.00111965	0.00273024	0.00595144	
       175	-0.00016883	0.00240812	0.00015329	0.00305236	
       176	0.00240812	0.00079753	-0.00049095	0.00176389	
       177	0.00305236	0.00079753	0.00240812	0.00144177	
       178	-0.00242366	0.00240812	-0.00306790	0.00434084	
       179	0.00401872	-0.00016883	-0.00177943	-0.00339002	
       180	0.00530720	-0.00274578	-0.00435638	-0.00661121	
       181	-0.00789969	-0.00049095	-0.00661121	0.00079753	
       182	-0.01691903	-0.00016883	-0.00532274	0.00627356	
       183	-0.01015453	-0.00081307	-0.00210154	0.00208601	
       184	-0.00564486	-0.00306790	0.00627356	-0.00049095	
       185	-0.00596698	-0.00113519	0.00337448	-0.00274578	
       186	0.00144177	0.00176389	0.00273024	0.00176389	
       187	0.00498508	-0.00049095	0.00498508	0.00144177	
       188	0.00369660	-0.00145731	0.00530720	-0.00145731	
       189	0.00079753	0.00273024	-0.00210154	0.00047541	
       190	0.00562932	0.00047541	0.00111965	-0.01144300	
       191	0.00369660	0.00047541	0.00176389	-0.00789969	
       192	0.00240812	-0.00049095	0.00401872	0.00369660	
       193	0.00208601	0.00079753	-0.00403426	0.00498508	
       194	0.00562932	0.00111965	-0.00435638	-0.00113519	
       195	0.01046111	-0.00081307	-0.00113519	-0.00983241	
       196	0.00723991	-0.00049095	0.00079753	-0.01079876	
       197	0.00401872	-0.00145731	-0.00339002	0.01239382	
       198	0.00240812	-0.00177943	-0.00306790	0.00337448	
       199	-0.00210154	-0.00177943	-0.00145731	-0.00564486	
       200	-0.00113519	-0.00371214	-0.00049095	0.00401872	
       201	-0.00725545	0.00176389	-0.00467850	0.00015329	
       202	-0.00628909	-0.00113519	-0.00274578	0.00466296	
       203	-0.00177943	-0.00081307	0.00208601	0.00659567	
       204	-0.00693333	0.00240812	-0.00210154	0.00434084	
       205	-0.00306790	-0.00306790	0.00434084	-0.00177943	
       206	-0.00628909	-0.00210154	-0.00113519	-0.00210154	
       207	0.00144177	-0.00435638	-0.00016883	-0.00403426	
       208	-0.00403426	-0.00016883	-0.00242366	-0.00274578	
       209	-0.01079876	0.00305236	-0.00467850	0.00530720	
       210	-0.00016883	0.00240812	-0.00145731	-0.00049095	
       211	0.00434084	0.00434084	-0.00306790	0.00111965	
       212	0.00562932	0.00369660	-0.00757757	-0.00113519	
       213	0.00208601	0.00208601	-0.00145731	0.00015329	
       214	0.00273024	0.00015329	0.00691779	0.00176389	
       215	0.00273024	-0.00016883	0.00756203	-0.00564486	
       216	0.00144177	-0.00306790	0.00723991	-0.00403426	
       217	-0.00210154	-0.00177943	0.00434084	-0.00145731	
       218	-0.00081307	-0.00339002	-0.00081307	-0.00210154	
       219	-0.00274578	-0.00242366	0.00111965	-0.00049095	
       220	-0.00628909	-0.00113519	-0.00081307	0.00015329	
       221	-0.00274578	-0.00274578	-0.00371214	-0.00049095	
       222	-0.00532274	-0.00403426	-0.00145731	0.00659567	
