‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       339	0.00111965	-0.00371214	0.00273024	-0.00951029	
       340	0.00176389	-0.00339002	0.00176389	-0.00789969	
       341	0.00047541	0.00047541	-0.00049095	-0.00339002	
       342	0.00466296	-0.00306790	0.00530720	-0.00145731	
       343	0.00401872	-0.00306790	0.00498508	0.00144177	
       344	0.00595144	-0.00016883	0.00273024	0.00144177	
       345	0.00240812	-0.00016883	0.00015329	0.00208601	
       346	0.00401872	0.00369660	0.00079753	0.00111965	
       347	0.00401872	0.00369660	0.00176389	0.00273024	
       348	0.00562932	0.00756203	-0.00210154	0.00273024	
       349	-0.00081307	0.00595144	-0.00113519	0.00208601	
       350	-0.00693333	0.00240812	-0.00371214	-0.00371214	
       351	-0.00467850	-0.00145731	-0.00661121	0.00047541	
       352	-0.00467850	-0.00339002	-0.00210154	-0.00049095	
       353	-0.00500062	-0.00371214	0.00498508	-0.00049095	
       354	-0.00822181	-0.00016883	-0.00306790	-0.00016883	
       355	-0.00789969	-0.00145731	-0.00274578	-0.00951029	
       356	-0.00467850	-0.00371214	0.00015329	-0.00757757	
       357	-0.00306790	-0.00467850	-0.00016883	-0.00371214	
       358	-0.00661121	-0.00210154	-0.00081307	-0.00081307	
       359	-0.00371214	-0.00242366	-0.00113519	0.00627356	
       360	0.00208601	-0.00371214	0.00240812	0.00208601	
       361	0.00079753	-0.00177943	-0.00242366	0.00659567	
       362	0.00434084	0.00015329	-0.00145731	0.00434084	
       363	0.00466296	0.00015329	-0.00016883	0.00305236	
       364	0.00144177	-0.00016883	-0.00016883	0.00015329	
       365	0.00176389	0.00047541	-0.00113519	0.00240812	
       366	-0.00306790	-0.00016883	-0.00371214	0.00015329	
       367	0.00079753	-0.00081307	-0.00306790	-0.00467850	
       368	0.00208601	0.00305236	0.00047541	-0.00693333	
       369	-0.00016883	0.00434084	-0.00339002	-0.00145731	
       370	-0.00467850	0.00111965	-0.00339002	-0.00210154	
       371	0.00015329	-0.00403426	0.00144177	-0.00177943	
       372	-0.00145731	-0.00177943	0.00498508	0.00176389	
       373	-0.00113519	-0.00274578	-0.00049095	0.00369660	
       374	-0.00016883	-0.00210154	-0.00177943	0.00273024	
       375	-0.00242366	-0.00113519	-0.00049095	0.00466296	
       376	-0.00757757	0.00595144	-0.00467850	0.00273024	
       377	-0.00467850	0.00111965	-0.00532274	-0.00016883	
       378	-0.00177943	-0.00210154	0.00111965	0.00079753	
       379	0.00111965	-0.00145731	-0.00242366	0.00240812	
       380	-0.00145731	-0.00081307	-0.00500062	0.00434084	
       381	-0.00081307	-0.00210154	0.00240812	-0.00210154	
       382	-0.00081307	0.00015329	0.00111965	-0.00177943	
       383	-0.00177943	-0.00016883	-0.00016883	-0.00049095	
       384	0.00047541	0.00144177	-0.00081307	-0.00016883	
       385	0.00208601	0.00111965	0.00240812	0.00047541	
       386	0.00047541	0.00434084	-0.00081307	-0.00177943	
       387	0.00144177	0.00434084	-0.00210154	-0.00339002	
       388	0.00079753	0.00530720	-0.00210154	-0.00177943	
       389	0.00047541	-0.00081307	0.00176389	0.00079753	
       390	0.00144177	-0.00242366	0.00015329	-0.00242366	
       391	0.00208601	-0.00532274	0.00240812	-0.00177943	
       392	-0.00274578	0.00273024	0.00015329	-0.00049095	
       393	0.00047541	0.00047541	-0.00177943	0.00240812	
       394	0.00144177	0.00015329	0.00015329	0.00369660	
       395	0.00176389	0.00176389	0.00015329	0.00434084	
       396	-0.00242366	-0.00049095	-0.00403426	0.00176389	
       397	-0.00177943	-0.00049095	-0.00306790	0.00208601	
       398	-0.00274578	-0.00467850	-0.00145731	-0.00145731	
       399	-0.00242366	-0.00532274	-0.00242366	0.00079753	
       400	-0.00628909	-0.00145731	-0.00081307	-0.00242366	
       401	-0.00403426	0.00079753	-0.00016883	-0.00886605	
       402	-0.00371214	0.00273024	0.00530720	-0.00145731	
       403	-0.00628909	0.00305236	0.00240812	0.00337448	
       404	0.00144177	0.00369660	0.00111965	0.00015329	
       405	0.00466296	0.00176389	0.00047541	0.00047541	
       406	0.00820627	-0.00371214	-0.00016883	-0.00242366	
       407	0.01239382	-0.00628909	0.00208601	-0.00016883	
       408	0.00530720	-0.00049095	0.00015329	-0.00274578	
       409	0.00144177	-0.00081307	0.00047541	-0.00532274	
       410	-0.00306790	0.00047541	-0.00113519	-0.00145731	
       411	-0.00918817	0.00111965	0.00208601	-0.00242366	
       412	-0.00725545	-0.00113519	0.00047541	0.00079753	
       413	-0.00564486	-0.00113519	-0.00049095	0.00401872	
       414	-0.00113519	-0.00210154	-0.00016883	0.00337448	
       415	0.00466296	-0.00049095	0.00015329	0.00466296	
       416	0.00337448	0.00144177	0.00079753	0.00659567	
       417	0.00434084	-0.00016883	-0.00177943	0.00240812	
       418	-0.00016883	-0.00306790	-0.00081307	-0.00789969	
       419	-0.00532274	-0.00242366	-0.00242366	-0.00210154	
       420	-0.01144300	0.00144177	-0.00113519	-0.00306790	
       421	-0.00918817	0.00079753	0.00079753	-0.00951029	
       422	-0.00467850	-0.00210154	0.00595144	-0.00822181	
       423	-0.00403426	0.00401872	0.00079753	0.00208601	
       424	0.00047541	0.00015329	-0.00274578	0.00144177	
       425	0.01013899	-0.00435638	0.00305236	-0.00081307	
       426	0.01207170	-0.00177943	0.00176389	-0.00016883	
       427	0.01336018	0.00240812	-0.00564486	0.00047541	
       428	0.01078323	0.00144177	-0.00210154	-0.00822181	
       429	0.00659567	0.00047541	-0.00371214	-0.00983241	
       430	0.00240812	-0.00016883	-0.00242366	0.00015329	
       431	-0.01144300	0.00337448	-0.00596698	0.00466296	
       432	-0.02175082	0.00144177	-0.00564486	0.00111965	
       433	-0.01788539	0.00015329	-0.00564486	0.00466296	
       434	-0.01563055	-0.00016883	0.00015329	0.00144177	
       435	-0.01434208	-0.00210154	0.00240812	-0.00371214	
       436	-0.00210154	-0.00274578	0.00305236	-0.00854393	
       437	-0.00016883	-0.00403426	0.00144177	0.00047541	
       438	0.00401872	-0.00081307	-0.00081307	0.00144177	
       439	0.00885051	-0.00242366	-0.00177943	0.00240812	
       440	0.00466296	-0.00339002	0.00015329	0.00498508	
       441	0.00434084	-0.00339002	-0.00016883	0.00498508	
       442	-0.00210154	-0.00016883	-0.00210154	0.00595144	
       443	-0.00435638	0.00144177	-0.00467850	0.00369660	
       445	0.00015329	0.00015329	-0.00210154	0.00144177	
       446	-0.00210154	0.00015329	0.00144177	-0.00113519	
       447	0.00047541	0.00079753	0.00208601	0.00015329	
       448	-0.00177943	-0.00145731	0.00176389	-0.00403426	
       448	0.00144177	-0.00113519	-0.00081307	-0.00242366	
       449	-0.00242366	-0.00016883	-0.00016883	-0.00145731	
       450	0.00208601	-0.00145731	-0.00113519	-0.00177943	
       451	0.00047541	0.00498508	-0.00145731	-0.00242366	
       452	-0.00016883	0.00981687	-0.00274578	0.00144177	
       453	0.00401872	0.00047541	-0.00016883	0.00144177	
       454	0.00176389	0.00562932	-0.00242366	0.00434084	
       456	-0.00371214	0.00434084	-0.00306790	0.00659567	
       457	0.00305236	-0.00532274	0.00208601	0.00595144	
       458	0.01174958	-0.00628909	0.00240812	0.00273024	
